No,Pertanyaan,Jawaban AI,BLEU,ROUGE-L
1,Apa yang dimaksud dengan stunting?,Stunting adalah suatu keadaan di mana tinggi badan anak lebih rendah dari rata-rata untuk usianya ka...,0.3563,0.5361
2,Apa penyebab stunting?,Terima kasih untuk pertanyaan Anda! Stunting adalah masalah kurang gizi kronis yang disebabkan oleh ...,0.044,0.2176
3,Bagaimana diagnosis stunting?,"Tentu! Untuk melakukan deteksi stunting menggunakan model AI, saya memerlukan data berikut dari Anda...",0.0,0.093
4,Bagaimana penanganan stunting pada anak?,Terima kasih atas pertanyaan Anda tentang penanganan stunting pada anak. Sebagai asisten kesehatan a...,0.0,0.0348
5,Bagaimana pemberian makan bayi dan anak agar tidak stunting?,"Terima kasih atas pertanyaan Anda! Sebagai asisten kesehatan ahli stunting, saya sangat senang memba...",0.0,0.0641
6,Bagaimana cara mendiagnosis stunting secara fisik?,"Diagnosis stunting secara fisik dilakukan dengan mengukur beberapa parameter fisik anak, yaitu:

1. ...",0.0272,0.2
7,Apa indikator diagnosis stunting menurut kurva pertumbuhan WHO?,"Menurut kurva pertumbuhan WHO, indikator diagnosis stunting adalah jika tinggi badan anak berada di ...",0.5944,0.7059
8,Apa yang dimaksud dengan periode 1000 HPK?,"Terima kasih untuk pertanyaan Anda!

Periode 1000 Hari Pertama Kehidupan (HPK) adalah masa kunci pen...",0.1528,0.2857
9,Jelaskan upaya pencegahan stunting dengan metode ABCDE!,"Upaya pencegahan stunting dapat dilakukan dengan metode ABCDE, yaitu:

A: Aktif minum Tablet Tambah ...",0.1622,0.3529
10,Berapa kali minimal ibu hamil harus melakukan pemeriksaan kehamilan (ANC)?,Ibu hamil disarankan untuk melakukan pemeriksaan kehamilan (ANC) minimal 6 kali selama masa kehamila...,0.3446,0.6076
11,Apa saja yang bisa dilakukan ibu hamil untuk mencegah stunting?,"Sebagai ibu hamil, Anda memiliki peran yang sangat penting dalam mencegah stunting pada bayi Anda. B...",0.0271,0.1757
12,Bagaimana cara mencegah stunting pada periode bayi usia 0-6 bulan?,Pencegahan stunting pada periode bayi usia 0-6 bulan sangat kritis dan penting. Berikut adalah beber...,0.0,0.0662
13,Apa saja syarat pemberian MP-ASI yang baik setelah bayi berusia 6 bulan?,"Ibu yang baik!

Setelah bayi berusia 6 bulan, pemberian Makanan Pendamping ASI (MP-ASI) harus memenu...",0.0111,0.1212
14,Apa saja contoh sumber protein hewani untuk MP-ASI yang diprioritaskan?,"Ibu! Sumber protein hewani yang diprioritaskan untuk MP-ASI adalah:

1. Ikan
2. Ayam
3. Daging sapi
...",0.0,0.4062
15,Bagaimana variasi makanan dalam MP-ASI yang disarankan?,Variasi makanan dalam MP-ASI sangat penting untuk memastikan bahwa bayi dan balita mendapatkan zat g...,0.0,0.1548
16,Sebutkan intervensi gizi untuk anak usia 6-23 bulan (Baduta)?,"Untuk anak usia 6-23 bulan (Baduta), intervensi gizi yang dianjurkan adalah:

1. Melanjutkan pemberi...",0.0401,0.2836
17,Apa pengaruh pola asuh orang tua terhadap kejadian stunting?,Pola asuh orang tua memiliki pengaruh yang sangat signifikan terhadap kejadian stunting pada anak. P...,0.0155,0.058
18,Apa saja pengobatan yang dilakukan jika anak sudah menderita stunting?,"Terima kasih atas pertanyaannya! Sebagai asisten kesehatan ahli stunting, saya ingin menjelaskan bah...",0.0,0.0897
19,Mengapa sanitasi dan air bersih sangat penting untuk mencegah stunting?,"Sanitasi dan air bersih sangat penting untuk mencegah stunting karena beberapa alasan. Pertama, sani...",0.0735,0.1622
20,Apa tanda utama anak balita mengalami stunting berdasarkan tinggi badannya?,"Hal yang sangat penting untuk kita ketahui!

Tanda utama anak balita mengalami stunting berdasarkan ...",0.0,0.0663
